Region,Nodo,tac,lac,Total de Sectores,estado por sector,Relacion TAC-LAC,Color tecnologia,Color,Descripcion,Latitud,Longitud,Azimuth,BeamWidth,Height
REGION 9,DF6387L2100,584,,3,OK,OK,#00FF00,#00FF00,,19.327862,-99.28347,"[72.0, 170.0, 289.0]","[65.0, 65.0, 65.0]",22.1
REGION 9,DF3585U1900,,13006,3,OK,OK,#00FF00,#00FF00,,19.327862,-99.28347,"[72.0, 170.0, 289.0]","[65.0, 65.0, 65.0]",22.1
REGION 9,DF6387U850,,13006,3,OK,OK,#00FF00,#00FF00,,19.327862,-99.28347,"[72.0, 170.0, 289.0]","[65.0, 65.0, 65.0]",22.1
REGION 3,CH3395L2100,9474,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.16459,-106.95434,"[35.0, 240.0, 315.0]","[65.0, 65.0, 65.0]",24
REGION 3,CH3821U1900,,29037,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.16459,-106.95434,"[35.0, 240.0, 315.0]","[65.0, 65.0, 65.0]",24
REGION 3,CH3395U850,,29037,3,OK,NOK,#00FF00,#000000,Relación sin existencia,29.16459,-106.95434,"[35.0, 240.0, 315.0]","[65.0, 65.0, 65.0]",24
REGION 4,NL0981L2100,3872,,3,OK,OK,#00FF00,#00FF00,,25.626677,-100.282936,"[130.0, 210.0, 310.0]","[68.0, 68.0, 68.0]",12
REGION 4,NL0981U850,,22014,3,OK,OK,#00FF00,#00FF00,,25.626677,-100.282936,"[130.0, 210.0, 310.0]","[68.0, 68.0, 68.0]",12
REGION 4,NL5024U1900,,22014,3,OK,OK,#00FF00,#00FF00,,25.626677,-100.282936,"[130.0, 210.0, 310.0]","[68.0, 68.0, 68.0]",12
REGION 9,DF4626L2100,601,,3,OK,OK,#00FF00,#00FF00,,19.393547,-99.098816,"[46.0, 117.0, 279.0]","[65.0, 65.0, 65.0]",23.8
REGION 9,DF4626U850,,11290,3,OK,OK,#00FF00,#00FF00,,19.393547,-99.098816,"[46.0, 117.0, 279.0]","[65.0, 65.0, 65.0]",23.8
REGION 9,DF3564U1900,,11290,3,OK,OK,#00FF00,#00FF00,,19.393547,-99.098816,"[46.0, 117.0, 279.0]","[65.0, 65.0, 65.0]",23.8
REGION 6,GT2841L2100,23322,,3,OK,OK,#00FF00,#00FF00,,20.457039,-100.60533,"[50.0, 180.0, 260.0]","[66.5, 66.5, 66.5]",35
REGION 6,GT2841U850,,16057,3,OK,OK,#00FF00,#00FF00,,20.457039,-100.60533,"[50.0, 180.0, 260.0]","[66.5, 66.5, 66.5]",35
REGION 6,GT6244U1900,,16057,3,OK,OK,#00FF00,#00FF00,,20.457039,-100.60533,"[50.0, 180.0, 260.0]","[66.5, 66.5, 66.5]",35
REGION 6,GT7064L2100,23308,,3,OK,OK,#00FF00,#00FF00,,21.124094,-101.66406,"[355.0, 120.0, 260.0]","[66.5, 66.5, 69.5]",14.57
REGION 6,GT7064U850,,12033,3,OK,OK,#00FF00,#00FF00,,21.124094,-101.66406,"[355.0, 120.0, 260.0]","[66.5, 66.5, 69.5]",14.57
REGION 6,GT4403U1900,,12033,3,OK,OK,#00FF00,#00FF00,,21.124094,-101.66406,"[355.0, 120.0, 260.0]","[66.5, 66.5, 69.5]",14.57
REGION 9,DF4416L2100,568,,3,OK,OK,#00FF00,#00FF00,,19.436655,-99.207115,"[47.0, 165.0, 285.0]","[65.0, 65.0, 65.0]",15.84
REGION 9,DF4416U850,,12108,3,OK,OK,#00FF00,#00FF00,,19.436655,-99.207115,"[47.0, 165.0, 285.0]","[65.0, 65.0, 65.0]",15.84
REGION 9,DF4317U1900,,12108,3,OK,OK,#00FF00,#00FF00,,19.436655,-99.207115,"[47.0, 165.0, 285.0]","[65.0, 65.0, 65.0]",15.84
REGION 6,QU7017L2100,23346,,1,OK,OK,#00FF00,#00FF00,,20.66773,-100.36242,"[290.0, 290.0, 290.0]","[69.0, 69.0, 65.0]",43.9
REGION 6,QU1544U1900,,36034,1,OK,OK,#00FF00,#00FF00,,20.66773,-100.36242,"[290.0, 290.0, 290.0]","[69.0, 69.0, 65.0]",43.9
REGION 6,QU7017U850,,36034,1,OK,OK,#00FF00,#00FF00,,20.66773,-100.36242,"[290.0, 290.0, 290.0]","[69.0, 69.0, 65.0]",43.9
REGION 4,NL1764L2100,3892,,3,OK,OK,#00FF00,#00FF00,,25.752644,-100.40241,"[90.0, 185.0, 305.0]","[70.5, 68.0, 70.5]",18
REGION 4,NL1764U850,,41013,3,OK,OK,#00FF00,#00FF00,,25.752644,-100.40241,"[90.0, 185.0, 305.0]","[70.5, 68.0, 70.5]",18
REGION 4,NL1406U1900,,41013,3,OK,OK,#00FF00,#00FF00,,25.752644,-100.40241,"[90.0, 185.0, 305.0]","[70.5, 68.0, 70.5]",18
REGION 4,NL0962L2100,3872,,3,OK,OK,#00FF00,#00FF00,,25.494465,-100.18717,"[66.0, 161.0, 331.0]","[68.0, 68.0, 70.0]",28.3
REGION 4,NL0962U850,,22014,3,OK,OK,#00FF00,#00FF00,,25.494465,-100.18717,"[66.0, 161.0, 331.0]","[68.0, 68.0, 70.0]",28.3
REGION 4,NL1359U1900,,22014,3,OK,OK,#00FF00,#00FF00,,25.494465,-100.18717,"[66.0, 161.0, 331.0]","[68.0, 68.0, 70.0]",28.3
REGION 6,GT7076L2100,23331,,3,OK,OK,#00FF00,#00FF00,,20.9616,-101.42283,"[340.0, 100.0, 220.0]","[69.5, 69.5, 69.5]",28
REGION 6,GT4433U1900,,33033,3,OK,OK,#00FF00,#00FF00,,20.9616,-101.42283,"[340.0, 100.0, 220.0]","[69.5, 69.5, 69.5]",28
REGION 4,NL6692L2100,3856,,3,OK,OK,#00FF00,#00FF00,,25.79475,-99.17675,"[0.0, 200.0, 265.0]","[65.0, 65.0, 65.0]",60
REGION 4,NL6692U850,,21017,3,OK,OK,#00FF00,#00FF00,,25.79475,-99.17675,"[0.0, 200.0, 265.0]","[65.0, 65.0, 65.0]",60
REGION 4,NL2824U1900,,21017,3,OK,OK,#00FF00,#00FF00,,25.79475,-99.17675,"[0.0, 200.0, 265.0]","[65.0, 65.0, 65.0]",60
REGION 3,DU0614L2100,18199,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.121386,-103.793175,"[55.0, 150.0, 290.0]","[65.0, 65.0, 65.0]",36
REGION 3,DU0614U850,,12040,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.121386,-103.793175,"[55.0, 150.0, 290.0]","[65.0, 65.0, 65.0]",36
REGION 3,DU0215U1900,,12040,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.121386,-103.793175,"[55.0, 150.0, 290.0]","[65.0, 65.0, 65.0]",36
REGION 4,CO3648L2100,3876,,3,OK,OK,#00FF00,#00FF00,,25.442694,-100.914055,"[77.0, 200.0, 327.0]","[68.0, 69.5, 70.0]",30
REGION 4,CO3648U850,,13014,3,OK,OK,#00FF00,#00FF00,,25.442694,-100.914055,"[77.0, 200.0, 327.0]","[68.0, 69.5, 70.0]",30
REGION 4,CO6243U1900,,13014,3,OK,OK,#00FF00,#00FF00,,25.442694,-100.914055,"[77.0, 200.0, 327.0]","[68.0, 69.5, 70.0]",30
REGION 9,HI5364L2100,1795,,3,OK,OK,#00FF00,#00FF00,,21.17425,-98.618225,"[47.0, 157.0, 277.0]","[70.5, 70.5, 70.5]",20
REGION 9,HI5364U850,,29007,3,OK,OK,#00FF00,#00FF00,,21.17425,-98.618225,"[47.0, 157.0, 277.0]","[70.5, 70.5, 70.5]",20
REGION 9,HI1631U1900,,29007,3,OK,OK,#00FF00,#00FF00,,21.17425,-98.618225,"[47.0, 157.0, 277.0]","[70.5, 70.5, 70.5]",20
REGION 1,BN1353L2100,14080,,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.516285,-117.0508,"[177.0, 242.0, 177.0]","[70.5, 70.5, 70.5]",16
REGION 1,BN1353U850,,41044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.516285,-117.0508,"[177.0, 242.0, 177.0]","[70.5, 70.5, 70.5]",16
REGION 1,BN2776U1900,,41044,3,OK,NOK,#00FF00,#000000,Relación sin existencia,32.516285,-117.0508,"[177.0, 242.0, 177.0]","[70.5, 70.5, 70.5]",16
REGION 3,CO1672L2100,18196,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.484028,-103.35169,"[20.0, 112.0, 205.0]","[65.0, 65.0, 65.0]",30
REGION 3,CO1672U850,,21040,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.484028,-103.35169,"[20.0, 112.0, 205.0]","[65.0, 65.0, 65.0]",30
REGION 3,CO1678U1900,,21040,3,OK,NOK,#00FF00,#000000,Relación sin existencia,25.484028,-103.35169,"[20.0, 112.0, 205.0]","[65.0, 65.0, 65.0]",30
REGION 6,ZA2655L2100,23350,,2,OK,OK,#00FF00,#00FF00,,22.78764,-102.5695,"[120.0, 240.0, 120.0]","[68.5, 69.5, 68.5]",18
REGION 6,ZA2655U850,,41091,2,OK,OK,#00FF00,#00FF00,,22.78764,-102.5695,"[120.0, 240.0, 120.0]","[68.5, 69.5, 68.5]",18
REGION 6,ZA2365U1900,,41091,2,OK,OK,#00FF00,#00FF00,,22.78764,-102.5695,"[120.0, 240.0, 120.0]","[68.5, 69.5, 68.5]",18
REGION 1,BN2139L2100,14088,,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.479546,-116.181244,"[94.0, 307.0, 94.0]","[64.0, 64.0, 64.0]",58
REGION 1,BN2139U850,,12044,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.479546,-116.181244,"[94.0, 307.0, 94.0]","[64.0, 64.0, 64.0]",58
REGION 1,BN4360U1900,,12044,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.479546,-116.181244,"[94.0, 307.0, 94.0]","[64.0, 64.0, 64.0]",58
REGION 9,DF0390L2100,531,,3,OK,OK,#00FF00,#00FF00,,19.34427,-99.15858,"[44.0, 155.0, 283.0]","[70.5, 70.5, 70.0]",21.3
REGION 9,DF1491U1900,,41009,3,OK,OK,#00FF00,#00FF00,,19.34427,-99.15858,"[44.0, 155.0, 283.0]","[70.5, 70.5, 70.0]",21.3
REGION 9,DF0390U850,,41009,3,OK,OK,#00FF00,#00FF00,,19.34427,-99.15858,"[44.0, 155.0, 283.0]","[70.5, 70.5, 70.0]",21.3
REGION 3,CH2707L2100,18184,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.621494,-106.08291,"[30.0, 150.0, 270.0]","[65.0, 65.0, 65.0]",16
REGION 3,CH2707U850,,21071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.621494,-106.08291,"[30.0, 150.0, 270.0]","[65.0, 65.0, 65.0]",16
REGION 3,CH3432U1900,,21071,3,OK,NOK,#00FF00,#000000,Relación sin existencia,28.621494,-106.08291,"[30.0, 150.0, 270.0]","[65.0, 65.0, 65.0]",16
REGION 9,DF0490L2100,570,,3,OK,OK,#00FF00,#00FF00,,19.358473,-99.161,"[16.0, 154.0, 277.0]","[65.0, 65.0, 65.0]",27.6
REGION 9,DF0490U850,,12008,3,OK,OK,#00FF00,#00FF00,,19.358473,-99.161,"[16.0, 154.0, 277.0]","[65.0, 65.0, 65.0]",27.6
REGION 9,DF1723U1900,,12008,3,OK,OK,#00FF00,#00FF00,,19.358473,-99.161,"[16.0, 154.0, 277.0]","[65.0, 65.0, 65.0]",27.6
REGION 4,NL3272L2100,3329,,3,OK,OK,#00FF00,#00FF00,,25.94982,-100.313934,"[50.0, 250.0, 330.0]","[70.5, 70.5, 68.0]",50
REGION 4,NL3272U850,,20013,3,OK,OK,#00FF00,#00FF00,,25.94982,-100.313934,"[50.0, 250.0, 330.0]","[70.5, 70.5, 68.0]",50
REGION 4,NL4821U1900,,20013,3,OK,OK,#00FF00,#00FF00,,25.94982,-100.313934,"[50.0, 250.0, 330.0]","[70.5, 70.5, 68.0]",50
REGION 6,QU6956L2100,23330,,3,OK,OK,#00FF00,#00FF00,,20.601122,-100.356445,"[70.0, 170.0, 280.0]","[65.0, 65.0, 65.0]",33.7
REGION 6,QU6956U850,,13058,3,OK,OK,#00FF00,#00FF00,,20.601122,-100.356445,"[70.0, 170.0, 280.0]","[65.0, 65.0, 65.0]",33.7
REGION 6,QU4397U1900,,13058,3,OK,OK,#00FF00,#00FF00,,20.601122,-100.356445,"[70.0, 170.0, 280.0]","[65.0, 65.0, 65.0]",33.7
REGION 6,ZA5095L2100,23325,,3,OK,OK,#00FF00,#00FF00,,22.653881,-102.12768,"[10.0, 90.0, 300.0]","[66.5, 69.0, 70.5]",50
REGION 6,ZA5095U850,,32091,3,OK,OK,#00FF00,#00FF00,,22.653881,-102.12768,"[10.0, 90.0, 300.0]","[66.5, 69.0, 70.5]",50
REGION 6,ZA7216U1900,,32091,3,OK,OK,#00FF00,#00FF00,,22.653881,-102.12768,"[10.0, 90.0, 300.0]","[66.5, 69.0, 70.5]",50
REGION 6,GT1859L2100,23298,,3,OK,OK,#00FF00,#00FF00,,20.56927,-100.56223,"[50.0, 265.0, 350.0]","[65.0, 65.0, 65.0]",33
REGION 6,GT4804U1900,,14058,3,OK,OK,#00FF00,#00FF00,,20.56927,-100.56223,"[50.0, 265.0, 350.0]","[65.0, 65.0, 65.0]",33
REGION 6,GT1859U850,,14058,3,OK,OK,#00FF00,#00FF00,,20.56927,-100.56223,"[50.0, 265.0, 350.0]","[65.0, 65.0, 65.0]",33
REGION 9,DF3830L2100,568,,3,OK,OK,#00FF00,#00FF00,,19.429306,-99.21264,"[67.0, 157.0, 317.0]","[63.0, 63.0, 63.0]",20.1
REGION 9,DF3830U850,,12108,3,OK,OK,#00FF00,#00FF00,,19.429306,-99.21264,"[67.0, 157.0, 317.0]","[63.0, 63.0, 63.0]",20.1
REGION 9,DF4216U1900,,12108,3,OK,OK,#00FF00,#00FF00,,19.429306,-99.21264,"[67.0, 157.0, 317.0]","[63.0, 63.0, 63.0]",20.1
REGION 9,HI3468L2100,571,,3,OK,OK,#00FF00,#00FF00,,20.073639,-98.7065,"[29.0, 132.0, 229.0]","[70.5, 70.0, 70.5]",44.1
REGION 9,HI3468U850,,16007,3,OK,OK,#00FF00,#00FF00,,20.073639,-98.7065,"[29.0, 132.0, 229.0]","[70.5, 70.0, 70.5]",44.1
REGION 9,HI1264U1900,,16007,3,OK,OK,#00FF00,#00FF00,,20.073639,-98.7065,"[29.0, 132.0, 229.0]","[70.5, 70.0, 70.5]",44.1
REGION 4,NL6667L2100,3870,,3,OK,OK,#00FF00,#00FF00,,25.67875,-100.266556,"[71.0, 195.0, 310.0]","[70.5, 69.0, 70.5]",32.5
REGION 4,NL6667U850,,22016,3,OK,OK,#00FF00,#00FF00,,25.67875,-100.266556,"[71.0, 195.0, 310.0]","[70.5, 69.0, 70.5]",32.5
REGION 4,NL1512U1900,,22016,3,OK,OK,#00FF00,#00FF00,,25.67875,-100.266556,"[71.0, 195.0, 310.0]","[70.5, 69.0, 70.5]",32.5
REGION 4,NL5125L2100,3588,,3,OK,OK,#00FF00,#00FF00,,25.205776,-99.9145,"[100.0, 195.0, 310.0]","[68.0, 68.0, 68.0]",75
REGION 4,NL2820U1900,,34014,3,OK,OK,#00FF00,#00FF00,,25.205776,-99.9145,"[100.0, 195.0, 310.0]","[68.0, 68.0, 68.0]",75
REGION 4,NL5125U850,,34014,3,OK,OK,#00FF00,#00FF00,,25.205776,-99.9145,"[100.0, 195.0, 310.0]","[68.0, 68.0, 68.0]",75
REGION 4,NL5736L2100,3864,,3,OK,OK,#00FF00,#00FF00,,25.820023,-100.24535,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 4,NL5670U1900,,12013,3,OK,OK,#00FF00,#00FF00,,25.820023,-100.24535,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 4,NL5736U850,,12013,3,OK,OK,#00FF00,#00FF00,,25.820023,-100.24535,"[65.0, 185.0, 305.0]","[68.0, 68.0, 68.0]",30
REGION 4,TA3733L2100,3873,,3,OK,OK,#00FF00,#00FF00,,22.28325,-97.82872,"[70.0, 190.0, 320.0]","[65.0, 65.0, 65.0]",24
REGION 4,TA3733U850,,22018,3,OK,OK,#00FF00,#00FF00,,22.28325,-97.82872,"[70.0, 190.0, 320.0]","[65.0, 65.0, 65.0]",24
REGION 4,TA9302U1900,,22018,3,OK,OK,#00FF00,#00FF00,,22.28325,-97.82872,"[70.0, 190.0, 320.0]","[65.0, 65.0, 65.0]",24
REGION 9,MX5248L2100,516,,3,OK,OK,#00FF00,#00FF00,,19.130089,-98.763725,"[17.0, 172.0, 257.0]","[65.0, 65.0, 65.0]",31.3
REGION 9,MX2867U850,,14002,3,OK,OK,#00FF00,#00FF00,,19.130089,-98.763725,"[17.0, 172.0, 257.0]","[65.0, 65.0, 65.0]",31.3
REGION 9,MX5248U850,,14002,3,OK,OK,#00FF00,#00FF00,,19.130089,-98.763725,"[17.0, 172.0, 257.0]","[65.0, 65.0, 65.0]",31.3
REGION 9,MX2351U1900,,14002,3,OK,OK,#00FF00,#00FF00,,19.130089,-98.763725,"[17.0, 172.0, 257.0]","[65.0, 65.0, 65.0]",31.3
REGION 6,GT7593L2100,23357,,3,OK,OK,#00FF00,#00FF00,,20.999193,-100.37606,"[60.0, 210.0, 320.0]","[66.5, 66.5, 66.5]",27
REGION 6,GT7593U850,,18034,3,OK,OK,#00FF00,#00FF00,,20.999193,-100.37606,"[60.0, 210.0, 320.0]","[66.5, 66.5, 66.5]",27
REGION 6,GT7611U1900,,18034,3,OK,OK,#00FF00,#00FF00,,20.999193,-100.37606,"[60.0, 210.0, 320.0]","[66.5, 66.5, 66.5]",27
REGION 1,BN1253L2100,14081,,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.469723,-116.97772,"[182.0, 302.0, 182.0]","[65.0, 65.0, 65.0]",18
REGION 1,BN1253U850,,11044,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.469723,-116.97772,"[182.0, 302.0, 182.0]","[65.0, 65.0, 65.0]",18
REGION 1,BN2764U1900,,11044,2,OK,NOK,#00FF00,#000000,Relación sin existencia,32.469723,-116.97772,"[182.0, 302.0, 182.0]","[65.0, 65.0, 65.0]",18
REGION 4,TA0521L2100,3888,,3,OK,OK,#00FF00,#00FF00,,27.395582,-99.639915,"[165.0, 345.0, 70.0]","[68.0, 68.0, 68.0]",77.5
REGION 4,TA0521U850,,41073,3,OK,OK,#00FF00,#00FF00,,27.395582,-99.639915,"[165.0, 345.0, 70.0]","[68.0, 68.0, 68.0]",77.5
REGION 4,TA9232U1900,,41073,3,OK,OK,#00FF00,#00FF00,,27.395582,-99.639915,"[165.0, 345.0, 70.0]","[68.0, 68.0, 68.0]",77.5
REGION 6,AG1256L2100,23324,,3,OK,OK,#00FF00,#00FF00,,21.736357,-102.29694,"[40.0, 120.0, 200.0]","[65.0, 65.0, 65.0]",50
REGION 6,AG1256U850,,31091,3,OK,OK,#00FF00,#00FF00,,21.736357,-102.29694,"[40.0, 120.0, 200.0]","[65.0, 65.0, 65.0]",50
REGION 6,AG8467U1900,,31091,3,OK,OK,#00FF00,#00FF00,,21.736357,-102.29694,"[40.0, 120.0, 200.0]","[65.0, 65.0, 65.0]",50
REGION 6,GT3213L2100,23313,,3,OK,OK,#00FF00,#00FF00,,20.423267,-100.76762,"[90.0, 210.0, 330.0]","[65.0, 65.0, 65.0]",53
